mex_dir,mex_file,mex_path,ID,TextID,WordID,Preview,start,end,file_name,tag,preview_length
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,1,12,3,REQUERIMENTO,32,45,113_1479,TYPE,12
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,2,12,4,Alexandre Aires de Figueiredo,47,77,113_1479,PERSON,29
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,3,12,4,D. JoĂŁo V,84,95,113_1479,PERSON,10
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,4,12,5,SĂŁo LuĂ­s do MaranhĂŁo,188,211,113_1479,LOCALIZATION,23
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,5,12,7,"1725, Dezembro, 19",13,31,113_1479,DATE,18
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,6,12,1,rei,80,84,113_1479,ROLE,3
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,7,12,1,capitĂŁo-mor,148,161,113_1479,ROLE,12
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,8,12,1,moradores,165,174,113_1479,ROLE,9
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,9,1,7,"1753, setembro, 15,",8,28,102_4978,DATE,19
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,10,1,5,Vila Rica,28,38,102_4978,LOCALIZATION,9
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,11,1,5,Minas,61,66,102_4978,LOCALIZATION,5
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,12,1,5,Rio de Janeiro,257,272,102_4978,LOCALIZATION,14
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,13,1,4,JosĂ© AntĂ´nio Freire de Andrade,68,100,102_4978,PERSON,32
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,14,1,4,Diogo de MendonĂ§a Corte Real,150,179,102_4978,PERSON,29
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,15,1,4,Gomes Freire de Andrade,299,322,102_4978,PERSON,23
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,17,1,3,CARTA,38,44,102_4978,TYPE,5
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,18,1,1,governador interino,221,240,102_4978,ROLE,19
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,19,1,1,general,291,299,102_4978,ROLE,7
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,20,1,1,secretĂˇrio de estado da Marinha e Ultramar,106,150,102_4978,ROLE,43
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,21,2,8,mulher,79,86,103_20579,AFFILIATION,6
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,22,2,7,"1823, MarĂ§o, 13",13,31,103_20579,DATE,16
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,23,2,5,Lisboa,110,117,103_20579,LOCALIZATION,6
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,24,2,5,Rio de Janeiro,201,215,103_20579,LOCALIZATION,14
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,25,2,5,Buenos Aires,231,243,103_20579,LOCALIZATION,12
